,Name,ObjectType,AdmArea,District,Address,UNOM,ClarificationOfLocation,Specialization,PeriodOfPlacement,FacilityArea,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ContractBasis,ObjectPhoto,StartDateTrading,geoData,global_id,x,y
1705,"НТО ул.Бутырский вал, 8дробь3с1",пресс-стенд,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Бутырский Вал, дом 8/3, строение 1",2117883,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-005828,У Метро,23.10.2018,23.10.2023,Результат аукциона (победитель),,25.10.2018,"{'coordinates': [37.5856547313749, 55.7779290583753], 'type': 'Point'}",1036624116,37.5856547313749,55.7779290583753
1706,"НТО ул.Грузинский вал,31с2",пресс-стенд,Центральный административный округ,Тверской район,"город Москва, улица Грузинский Вал, дом 31, строение 1",4303787,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-005829,У Метро,23.10.2018,23.10.2023,Результат аукциона (победитель),,25.10.2018,"{'coordinates': [37.581343, 55.774841], 'type': 'Point'}",1036624125,37.581343,55.774841
1707,"НТО ул.Лесная,вл.1",пресс-стенд,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 1/2",2117932,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-005830,У Метро,23.10.2018,23.10.2023,Результат аукциона (победитель),,25.10.2018,"{'coordinates': [37.585482, 55.777461], 'type': 'Point'}",1036624126,37.585482,55.777461
1708,"НТО ул.М.Неделина, вл.14",киоск,Западный административный округ,Можайский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Маршала Неделина, дом 14, корпус 1",15943,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004165,Амо-пресс,25.08.2017,25.08.2022,Результат аукциона (победитель),,18.10.2018,"{'coordinates': [37.4094780455153, 55.7255890769904], 'type': 'Point'}",1036624127,37.4094780455153,55.7255890769904
1709,"НТО ул.Малая Юшуньская, вл.1В с.2",киоск,Юго-Западный административный округ,район Зюзино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Азовская улица, дом 22, строение 1",2108462,,печать,с 1 января по 31 декабря,3,договор на осуществление торговой деятельности,аннулирован,НТО-09-08-002089,У Метро,19.09.2016,19.09.2021,Результат аукциона (победитель),,29.09.2016,"{'coordinates': [37.597163, 55.653057], 'type': 'Point'}",1036624128,37.597163,55.653057
1710,"НТО ул.Новослободская,вл.16",пресс-стенд,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Новослободская улица, дом 16",4303097,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-007993,У Метро,10.08.2021,10.08.2026,Результат аукциона (победитель),,04.10.2021,"{'coordinates': [37.5987626740381, 55.7820175078001], 'type': 'Point'}",1036624130,37.5987626740381,55.7820175078001
1711,НТО ул.Селезневская.вл.34 к.1,киоск,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Селезнёвская улица, дом 34, корпус 1",23300,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006336,СЕМЕЙНОЕ ЧТЕНИЕ,26.06.2019,26.06.2024,Результат аукциона (победитель),,16.07.2019,"{'coordinates': [37.6123418538816, 55.7810469817184], 'type': 'Point'}",1036624131,37.6123418538816,55.7810469817184
1712,"НТО Улица 1905 года, 15",пресс-стенд,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица 1905 Года, дом 15",83270,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-005842,У Метро,23.10.2018,23.10.2023,Результат аукциона (победитель),,25.10.2018,"{'coordinates': [37.559649, 55.762024], 'type': 'Point'}",1036624136,37.559649,55.762024
1713,"НТО Филевский б-р, 41",киоск,Западный административный округ,район Филёвский Парк,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Филёвский бульвар, дом 41",72088,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006652,МАКС ТНП,12.11.2019,12.11.2024,Результат аукциона (победитель),,27.11.2019,"{'coordinates': [37.4801059827572, 55.7631172060667], 'type': 'Point'}",1036624137,37.4801059827572,55.7631172060667
1714,"НТО Хорошевское шоссе д., 88",пресс-стенд,Северный административный округ,Хорошёвский район,"город Москва, Хорошёвское шоссе, дом 88",28131,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-006978,У Метро,30.06.2020,30.06.2025,Результат аукциона (победитель),,08.07.2020,"{'coordinates': [37.516549, 55.777537], 'type': 'Point'}",1036624142,37.516549,55.777537
1715,НТО шоссе Энтузиастов д.15дробь16,пресс-стенд,Юго-Восточный административный округ,район Лефортово,"город Москва, шоссе Энтузиастов, дом 15/16",30127,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-006954,Сосновский Андрей Владимирович,30.06.2020,30.06.2025,Результат аукциона (победитель),,15.09.2020,"{'coordinates': [37.715549, 55.75149], 'type': 'Point'}",1036624146,37.715549,55.75149
1716,НТО Шоссейная ул. 1 Ц,пресс-стенд,Юго-Восточный административный округ,район Печатники,"город Москва, Шоссейная улица, дом 1Ц",2707498,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-006354,СЕМЕЙНОЕ ЧТЕНИЕ,08.07.2019,08.07.2024,Результат аукциона (победитель),,08.07.2019,"{'coordinates': [37.72776, 55.708061], 'type': 'Point'}",1036624150,37.72776,55.708061
1717,НТО Шоссейная ул. Д.2 к.3,пресс-стенд,Юго-Восточный административный округ,район Печатники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Печатники, Шоссейная улица, дом 2, корпус 3",2710031,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-005833,У Метро,23.10.2018,23.10.2023,Результат аукциона (победитель),,25.10.2018,"{'coordinates': [37.7277870163838, 55.6922593145123], 'type': 'Point'}",1036624153,37.7277870163838,55.6922593145123
1718,"НТО Щепкина ул., 38",пресс-стенд,Центральный административный округ,Мещанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Щепкина, дом 38, строение 1",2126238,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-007997,У Метро,10.08.2021,10.08.2026,Результат аукциона (победитель),,04.10.2021,"{'coordinates': [37.630598, 55.781509], 'type': 'Point'}",1036624154,37.630598,55.781509
1719,"НТО Южнопортовая ул., д.18",пресс-стенд,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Южнопортовая улица, дом 18",67419,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-006355,СЕМЕЙНОЕ ЧТЕНИЕ,08.07.2019,08.07.2024,Результат аукциона (победитель),,08.07.2019,"{'coordinates': [37.6840816495866, 55.7067082221235], 'type': 'Point'}",1036624158,37.6840816495866,55.7067082221235
1720,"НТО Яблочкова ул.,д.21Б",пресс-стенд,Северо-Восточный административный округ,Бутырский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Яблочкова, владение 21Б",2303807,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-005825,У Метро,23.10.2018,23.10.2023,Результат аукциона (победитель),,25.10.2018,"{'coordinates': [37.576581, 55.819207], 'type': 'Point'}",1036624162,37.576581,55.819207
1721,НТО Олеко Дундича вл.5,киоск,Западный административный округ,район Филёвский Парк,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Олеко Дундича, дом 5",7296,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-005632,Антарес,09.08.2018,09.08.2023,Результат аукциона (победитель),,24.08.2018,"{'coordinates': [37.4964417935437, 55.7419583510657], 'type': 'Point'}",1036838127,37.4964417935437,55.7419583510657
1722,"НТО Проспект Мира, вл. 40",пресс-стенд,Центральный административный округ,Мещанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 40",14467,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-007986,У Метро,10.08.2021,10.08.2026,Результат аукциона (победитель),,30.09.2021,"{'coordinates': [37.633438543812, 55.7797901754869], 'type': 'Point'}",1036838137,37.633438543812,55.7797901754869
1723,"НТО ул. бульвар Энтузиастов, вл.2",пресс-стенд,Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, бульвар Энтузиастов, дом 2",4308889,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-006984,У Метро,30.06.2020,30.06.2025,Результат аукциона (победитель),,08.07.2020,"{'coordinates': [37.6815509358074, 55.7461725817292], 'type': 'Point'}",1036838151,37.6815509358074,55.7461725817292
1724,"НТО ул. Черняховского, вл.15 (перечесение с ул. Часовая, вл.2)",киоск,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица Черняховского, дом 15, корпус 1",28807,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007487,АРЕАЛ,14.01.2021,14.01.2026,Результат аукциона (победитель),,01.02.2021,"{'coordinates': [37.5364785099735, 55.8068423205432], 'type': 'Point'}",1036838159,37.5364785099735,55.8068423205432
1725,"НТО Андропова просп., вл. 27",киоск,Южный административный округ,район Нагатинский Затон,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 27",2124357,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008381,АЛФАВИТ,15.11.2021,15.11.2026,Результат аукциона (победитель),,18.11.2021,"{'coordinates': [37.6642711841019, 55.676459688192], 'type': 'Point'}",1036848864,37.6642711841019,55.676459688192
1726,"НТО Зеленоград, у корп.1204,12-й.мкр",киоск,Зеленоградский административный округ,район Силино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1204",31148,,печать,с 1 января по 31 декабря,6,договор на размещение,аннулирован,22 б/а,ПЕЧАТЬ И РАСПРОСТРАНЕНИЕ,26.08.2011,22.09.2014,Результат аукциона (победитель),65e10d1b-8392-4f9c-b9ab-96188289176a,22.09.2011,"{'coordinates': [37.190112808433, 55.9946937637009], 'type': 'Point'}",1042733130,37.190112808433,55.9946937637009
1727,"НТО Новокузьминская 1-я ул., 21 корп. 2",киоск,Юго-Восточный административный округ,Рязанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, 1-я Новокузьминская улица, дом 21, корпус 2",16612,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006870,АЛФАВИТ,15.04.2020,15.04.2025,Результат аукциона (победитель),,05.06.2020,"{'coordinates': [37.7929819009891, 55.7157452252643], 'type': 'Point'}",1042733149,37.7929819009891,55.7157452252643
1728,"НТО Проспект Мира, вл. 150",киоск,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, дом 150",2125840,,печать,с 1 января по 31 декабря,12,договор на размещение,аннулирован,СВАО/район Алексеевский/429-1,Азбука,29.02.2012,28.02.2015,Результат аукциона (победитель),f2d59b3f-d06d-43a2-ad6b-369591f0d0d0,29.02.2012,"{'coordinates': [37.6449190037976, 55.8237263040225], 'type': 'Point'}",1042733156,37.6449190037976,55.8237263040225
1729,НТО Станция метро «Сокольники»,киоск,Восточный административный округ,район Сокольники,"город Москва, Сокольническая площадь, дом 9А",2402137,,печать,с 1 января по 31 декабря,9,договор на размещение,аннулирован,СД-011/Сокольники,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ПРЕССА ДЛЯ ВСЕХ,30.01.2012,30.01.2015,Результат аукциона (победитель),94db2819-aff7-4fe1-a993-b25e54788a53,30.01.2012,"{'coordinates': [37.6792700384516, 55.7893775620694], 'type': 'Point'}",1042733161,37.6792700384516,55.7893775620694
1730,"НТО Измайловское шоссе, вл.69",киоск,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловское шоссе, дом 69, строение 2",2500654,,печать,с 1 января по 31 декабря,6,договор на размещение,аннулирован,СД-059/Измайлово,АРИА-АиФ,22.06.2012,22.06.2015,Результат аукциона (победитель),,,"{'coordinates': [37.7498674776381, 55.7882772902399], 'type': 'Point'}",1042791164,37.7498674776381,55.7882772902399
1731,НТО Ст.м.Университет,киоск,Западный административный округ,район Раменки,"город Москва, площадь Джавахарлала Неру, дом 1",3101090,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008198,ГКС,01.10.2021,01.10.2026,Результат аукциона (победитель),,08.10.2021,"{'coordinates': [37.5350212234634, 55.6933962969598], 'type': 'Point'}",1042956897,37.5350212234634,55.6933962969598
1732,"НТО Измайловское ш., вл.71",киоск,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловское шоссе, дом 71, корпус А",2105505,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-002792,Агентство Печати 41,08.11.2016,08.11.2021,Результат аукциона (победитель),,08.11.2016,"{'coordinates': [37.7479149485893, 55.7879482953564], 'type': 'Point'}",1042958368,37.7479149485893,55.7879482953564
1733,"НТО М. Университет, Ломоносовский пр-т, ст. МГУ",киоск,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Ломоносовский проспект, дом 22, корпус 1",2131409,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-001427,КРАСНОПРЕСНЕНСКОЕ АГЕНТСТВО ПЕЧАТИ,20.06.2016,20.06.2021,Результат аукциона (победитель),,20.06.2016,"{'coordinates': [37.535479823183, 55.6940997168701], 'type': 'Point'}",1042958386,37.535479823183,55.6940997168701
1734,НТО Ст. метро «Теплый Стан» (автобусный круг),киоск,Юго-Западный административный округ,район Ясенево,"город Москва, Профсоюзная улица, дом 129А",2803082,,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-003041,Московская периодика,23.12.2016,23.12.2021,Результат аукциона (победитель),,23.12.2016,"{'coordinates': [37.5056761978315, 55.6187134483454], 'type': 'Point'}",1042958440,37.5056761978315,55.6187134483454
1735,"НТО Флотская ул., вл.19дробь45",киоск,Северный административный округ,район Ховрино,"город Москва, Флотская улица, дом 15, корпус 2",3401118,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007873,АРЕАЛ,12.07.2021,12.07.2026,Результат аукциона (победитель),,06.09.2021,"{'coordinates': [37.5086778243922, 55.8569642451159], 'type': 'Point'}",1042958478,37.5086778243922,55.8569642451159
1736,"НТО Яна Райниса, вл.4, к.1 (уч. 1)",киоск,Северо-Западный административный округ,район Северное Тушино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, бульвар Яна Райниса, дом 4, корпус 1",2113781,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006598,Мультитранс,23.10.2019,23.10.2024,Результат аукциона (победитель),,11.11.2020,"{'coordinates': [37.4313923386274, 55.8507912465448], 'type': 'Point'}",1042958484,37.4313923386274,55.8507912465448
1737,"НТО Башиловская ул., вл.19",киоск,Северный административный округ,Савёловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Башиловская улица, дом 19",1596,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007484,АРЕАЛ,14.01.2021,14.01.2026,Результат аукциона (победитель),,29.01.2021,"{'coordinates': [37.5751957240219, 55.8005033272915], 'type': 'Point'}",1042959420,37.5751957240219,55.8005033272915
1738,"НТО 1-я Останкинская ул., вл. 55Д",киоск,Северо-Восточный административный округ,Останкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, 1-я Останкинская улица, дом 55Д",2304073,,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-007493,АРЕАЛ,14.01.2021,14.01.2026,Результат аукциона (победитель),,03.02.2021,"{'coordinates': [37.6363282459565, 55.8247199522555], 'type': 'Point'}",1043423051,37.6363282459565,55.8247199522555
1739,"НТО 2-я Владимирская ул., вл.45",киоск,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, 2-я Владимирская улица, дом 45",250021,,печать,с 1 января по 31 декабря,3,договор на осуществление торговой деятельности,действует,НТО-09-02-007193,У Метро,26.10.2020,26.10.2025,Результат аукциона (победитель),,19.11.2020,"{'coordinates': [37.7852081675637, 55.7504555778998], 'type': 'Point'}",1043423083,37.7852081675637,55.7504555778998
1740,"НТО Авиамоторная ул., вл. 47",киоск,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 47",111,,печать,с 1 января по 31 декабря,9,,не заключен,,,,,,,,"{'coordinates': [37.7186832243112, 55.7497547442367], 'type': 'Point'}",1043423102,37.7186832243112,55.7497547442367
1741,"НТО Авиамоторная ул., вл.14",киоск,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 14",95,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007105,АЛИМПИС,05.10.2020,05.10.2025,Результат аукциона (победитель),,18.05.2021,"{'coordinates': [37.7162386013597, 55.7526708714016], 'type': 'Point'}",1043423113,37.7162386013597,55.7526708714016
1742,"НТО Б. Тульская ул., вл. 2 (на пересечении с М. Тульской ул.)",киоск,Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Большая Тульская улица, дом 2",26315,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007961,У Метро,10.08.2021,10.08.2026,Результат аукциона (победитель),,29.09.2021,"{'coordinates': [37.6212331327864, 55.7110296490357], 'type': 'Point'}",1043423152,37.6212331327864,55.7110296490357
1743,"НТО Бакунинская ул., вл. 4-6",киоск,Центральный административный округ,Басманный район,"город Москва, Бакунинская улица, дом 4, строение 3",4303547,,печать,с 1 января по 31 декабря,3,договор на осуществление торговой деятельности,действует,НТО-09-02-005954,ПЕЧАТЬ СТОЛИЦЫ,25.12.2018,25.12.2023,Результат аукциона (победитель),,25.12.2018,"{'coordinates': [37.6796396625482, 55.7731024211719], 'type': 'Point'}",1043423157,37.6796396625482,55.7731024211719
1744,"НТО Борисовские Пруды ул., д.14 к.4",киоск,Южный административный округ,район Братеево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 14, корпус 4",78058,,печать,с 1 января по 31 декабря,3,,не заключен,,,,,,,,"{'coordinates': [37.7436748889484, 55.6323034408377], 'type': 'Point'}",1043423193,37.7436748889484,55.6323034408377
1745,"НТО Вавилова ул., вл.8 (пл. у ст.м. Ленинский пр-т)",киоск,Юго-Западный административный округ,Гагаринский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, улица Вавилова, дом 8",3119,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006366,СЕМЕЙНОЕ ЧТЕНИЕ,08.07.2019,08.07.2024,Результат аукциона (победитель),,17.08.2020,"{'coordinates': [37.5846352046503, 55.7069896853432], 'type': 'Point'}",1043423194,37.5846352046503,55.7069896853432
1746,"НТО Вешняковская ул., вл.18Б",киоск,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 18Б",2131313,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008325,У Метро,08.11.2021,08.11.2026,Результат аукциона (победитель),,,"{'coordinates': [37.8250366470018, 55.7226397064917], 'type': 'Point'}",1043423201,37.8250366470018,55.7226397064917
1747,"НТО Волгоградский просп., вл. 119-121",киоск,Юго-Восточный административный округ,район Кузьминки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Волгоградский проспект, дом 119А",2701451,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008099,ЮРКОНСАЛТИНГ,09.09.2021,09.09.2026,Результат аукциона (победитель),,22.09.2021,"{'coordinates': [37.7664385240339, 55.7060627850294], 'type': 'Point'}",1043423208,37.7664385240339,55.7060627850294
1748,"НТО Воронежская улица, 17а",пресс-стенд,Южный административный округ,район Зябликово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Воронежская улица, дом 17А",3806846,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-007987,У Метро,10.08.2021,10.08.2026,Результат аукциона (победитель),,10.09.2021,"{'coordinates': [37.7448552640519, 55.611006198779], 'type': 'Point'}",1043423213,37.7448552640519,55.611006198779
1749,"НТО Зеленый просп., вл.62А",киоск,Восточный административный округ,район Новогиреево,"город Москва, Зелёный проспект, дом 62А",2600925,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007034,АЛИМПИС,15.09.2020,15.09.2025,Результат аукциона (победитель),,17.09.2020,"{'coordinates': [37.8192520479929, 55.7511740085302], 'type': 'Point'}",1043423220,37.8192520479929,55.7511740085302
1750,"НТО Зеленый проспект, вл. 22",киоск,Восточный административный округ,район Новогиреево,"город Москва, Зелёный проспект, дом 22",250027,,печать,с 1 января по 31 декабря,6,,не заключен,,,,,,,,"{'coordinates': [37.78829692801, 55.7513823228529], 'type': 'Point'}",1043423225,37.78829692801,55.7513823228529
1751,"НТО Измайловский просп., вл.61",киоск,Восточный административный округ,район Измайлово,"город Москва, Измайловский проспект, дом 61",8689,,печать,с 1 января по 31 декабря,6,,не заключен,,,,,,,,"{'coordinates': [37.7835857101668, 55.7883195773554], 'type': 'Point'}",1043423227,37.7835857101668,55.7883195773554
1752,"НТО Каланчевская ул., вл. 27",киоск,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Каланчёвская улица, дом 27",4302167,,печать,с 1 января по 31 декабря,3,договор на осуществление торговой деятельности,действует,НТО-09-02-008632,АЛФАВИТ,04.02.2022,04.02.2027,Результат аукциона (победитель),,17.02.2022,"{'coordinates': [37.6500195561208, 55.7748847125888], 'type': 'Point'}",1043423228,37.6500195561208,55.7748847125888
1753,"НТО Кетчерская ул., вл.2, стр.3",киоск,Восточный административный округ,район Вешняки,"город Москва, Кетчерская улица, дом 2, корпус 3",10007,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007033,АЛИМПИС,15.09.2020,15.09.2025,Результат аукциона (победитель),,26.03.2021,"{'coordinates': [37.8203904765958, 55.7431219746848], 'type': 'Point'}",1043423239,37.8203904765958,55.7431219746848
1754,НТО Крымская площадь,киоск,Центральный административный округ,район Хамовники,"город Москва, Зубовский бульвар, дом 11А",4308119,,печать,с 1 января по 31 декабря,8,договор на осуществление торговой деятельности,действует,НТО-09-02-008215,МК-СЕРВИС,04.10.2021,04.10.2026,Результат аукциона (победитель),,21.04.2022,"{'coordinates': [37.5932565764189, 55.735496935991], 'type': 'Point'}",1043423260,37.5932565764189,55.735496935991
1755,"НТО Островитянова ул., вл.30",киоск,Юго-Западный административный округ,район Тёплый Стан,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, улица Островитянова, дом 30, корпус 1",17939,,печать,с 1 января по 31 декабря,9,,не заключен,,,,,,,,"{'coordinates': [37.518882, 55.634005], 'type': 'Point'}",1043423319,37.518882,55.634005
1756,"НТО Первомайская ул., вл.77, стр.2",киоск,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Первомайская улица, дом 77, строение 2",2502997,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008570,У Метро,28.12.2021,28.12.2026,Результат аукциона (победитель),,01.01.2022,"{'coordinates': [37.7995260806386, 55.7934578834594], 'type': 'Point'}",1043423339,37.7995260806386,55.7934578834594
1757,НТО Пересечение Академика Миллионщикова ул. и Коломенского пр.,киоск,Южный административный округ,район Нагатино-Садовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Коломенский проезд, дом 8, корпус 5",2123446,,печать,с 1 января по 31 декабря,9,,не заключен,,,,,,,,"{'coordinates': [37.6487541616377, 55.6657028930963], 'type': 'Point'}",1043423345,37.6487541616377,55.6657028930963
1758,"НТО Перовская ул., вл.6, корп.1",киоск,Восточный административный округ,район Перово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Перовская улица, дом 6, корпус 1",19426,,печать,с 1 января по 31 декабря,6,,не заключен,,,,,,,,"{'coordinates': [37.7574031213522, 55.7472785844079], 'type': 'Point'}",1043423363,37.7574031213522,55.7472785844079
1759,"НТО Площадь Киевского вокзала, вл. 1",пресс-стенд,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 1",3200676,,печать,с 1 января по 31 декабря,1,,не заключен,,,,,,,,"{'coordinates': [37.5672239875894, 55.7437240816456], 'type': 'Point'}",1043423370,37.5672239875894,55.7437240816456
1760,"НТО площадь ст. м. «ВДНХ», северный выход",киоск,Северо-Восточный административный округ,Останкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 115, строение 1",2302329,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008348,У Метро,08.11.2021,08.11.2026,Результат аукциона (победитель),,23.11.2021,"{'coordinates': [37.6415228695562, 55.8226963838947], 'type': 'Point'}",1043423375,37.6415228695562,55.8226963838947
1761,"НТО проезд Серебрякова, вл. 2дробь1",киоск,Северо-Восточный административный округ,район Свиблово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проезд Серебрякова, дом 1/2",23405,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007842,АЛИМПИС,28.06.2021,28.06.2026,Результат аукциона (победитель),,14.09.2021,"{'coordinates': [37.6402715581943, 55.8468171610294], 'type': 'Point'}",1043423382,37.6402715581943,55.8468171610294
1762,НТО Проспект Мира вл.150,киоск,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, дом 150",2125840,,печать,с 1 января по 31 декабря,12,,не заключен,,,,,,,,"{'coordinates': [37.6449190037976, 55.8237263040225], 'type': 'Point'}",1043423389,37.6449190037976,55.8237263040225
1763,"НТО Профсоюзная ул., вл.98, корп. 1",киоск,Юго-Западный административный округ,район Коньково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, Профсоюзная улица, дом 98, корпус 1",21034,,печать,с 1 января по 31 декабря,9,,не заключен,,,,,,,,"{'coordinates': [37.5279204091959, 55.6469281492019], 'type': 'Point'}",1043423395,37.5279204091959,55.6469281492019
